short_name,greeting,position,date,b1_dummy,b2_dummy,b3_dummy,b4_dummy
bomfim,Mr,senior adviser,20180131,,,,
meade,Ms,senior adviser,20180131,,,,
meyer,Mr,senior adviser,20180131,,,,
nelson,Mr,senior adviser,20180131,,,,
zickler,Ms,senior adviser,20180131,,,,
rudd,Mr,senior adviser,20180131,,,,
bassett,Mr,associate director,20180131,,,,
figura,Mr,assistant director,20180131,,,,
wu,Mr,assistant director,20180131,,,,
beattie,Ms,assistant to the secretary,20180131,,,,
burnett,Ms,section chief,20180131,,,,
cavallo,Ms,section chief,20180131,,,,
small,Mr,project manager,20180131,,,,
ajello,Mr,principal economist,20180131,,,,
lewis,Mr,principal economist,20180131,,,,
peneva,Ms,principal economist,20180131,,,,
vine,Mr,principal economist,20180131,,,,
bryan,Ms,lead financial analyst,20180131,,,,
bromagen,Ms,first vice president,20180131,,,,
fuhrer,Mr,executive vice president,20180131,,,,
sullivan,Mr,executive vice president,20180131,,,,
clark,Mr,senior vice president,20180131,,,,
koenig,Mr,senior vice president,20180131,,,,
sill,Mr,senior vice president,20180131,,,,
wright,Mr,senior vice president,20180131,,,,
garriga,Mr,vice president,20180131,,,,
willis,Mr,vice president,20180131,,,,
bernanke,Mr,chairman,20060328,,,,
geithner,Mr,vice chairman,20060328,,,,
bies,Ms,governor,20060328,,,,
guynn,Mr,president,20060328,,,,
kohn,Mr,governor,20060328,,,,
kroszner,Mr,governor,20060328,,,,
lacker,Mr,president,20060328,,,,
olson,Mr,governor,20060328,,,,
pianalto,Ms,president,20060328,,,,
warsh,Mr,governor,20060328,,,,
yellen,Ms,president,20060328,,,,
cumming,Ms,first vice president,20060328,,,,
minehan,Ms,president,20060328,,,,
fisher,Mr,president,20060328,,,,
stern,Mr,president,20060328,,,,
stone,Mr,first vice president,20060328,,,,
reinhart,Mr,secretary and economist,20060328,,,,
danker,Ms,deputy secretary,20060328,,,,
smith,Ms,assistant secretary,20060328,,,,
skidmore,Mr,assistant secretary,20060328,,,,
alvarez,Mr,general counsel,20060328,,,,
baxter,Mr,deputy general counsel,20060328,,,,
johnson,Ms,economist,20060328,,,,
stockton,Mr,economist,20060328,,,,
connors,Mr,associate economist,20060328,,,,
eisenbeis,Mr,associate economist,20060328,,,,
kamin,Mr,associate economist,20060328,,,,
madigan,Mr,associate economist,20060328,,,,
sniderman,Mr,associate economist,20060328,,,,
struckmeyer,Mr,associate economist,20060328,,,,
tracy,Mr,associate economist,20060328,,,,
weinberg,Mr,associate economist,20060328,,,,
wilcox,Mr,associate economist,20060328,,,,
kos,Mr,manager,20060328,,,,
hambley,Mr,assistant to the board,20060328,,,,
oliner,Mr,associate director,20060328,,,,
slifman,Mr,associate director,20060328,,,,
whitesell,Mr,deputy associate director,20060328,,,,
english,Mr,assistant director,20060328,,,,
simpson,Mr,senior adviser,20060328,,,,
orphanides,Mr,adviser,20060328,,,,
small,Mr,project manager,20060328,,,,
wright,Mr,section chief,20060328,,,,
perli,Mr,senior economist,20060328,,,,
luecke,Mr,senior financial analyst,20060328,,,,
low,Ms,open market secretariat specialist,20060328,,,,
connolly,Mr,first vice president,20060328,,,,
fuhrer,Mr,executive vice president,20060328,,,,
rosenblum,Mr,executive vice president,20060328,,,,
evans,Mr,senior vice president,20060328,,,,
hakkio,Mr,senior vice president,20060328,,,,
mester,Ms,senior vice president,20060328,,,,
rasche,Mr,senior vice president,20060328,,,,
rolnick,Mr,senior vice president,20060328,,,,
rudebusch,Mr,senior vice president,20060328,,,,
mosser,Ms,vice president,20060328,,,,
greenspan,Mr,chairman,19980701,,,,
mcdonough,Mr,vice chairman,19980701,,,,
ferguson,Mr,governor,19980701,,,,
gramlich,Mr,governor,19980701,,,,
hoenig,Mr,president,19980701,,,,
jordan,Mr,president,19980701,,,,
kelley,Mr,governor,19980701,,,,
meyer,Mr,governor,19980701,,,,
minehan,Ms,president,19980701,,,,
poole,Mr,president,19980701,,,,
rivlin,Ms,governor,19980701,,,,
boehne,Mr,president,19980701,,,,
mcteer,Mr,president,19980701,,,,
moskow,Mr,president,19980701,,,,
stern,Mr,president,19980701,,,,
broaddus,Mr,president,19980701,,,,
guynn,Mr,president,19980701,,,,
parry,Mr,president,19980701,,,,
kohn,Mr,secretary and economist,19980701,,,,
bernard,Mr,deputy secretary,19980701,,,,
fox,Ms,assistant secretary,19980701,,,,
gillum,Mr,assistant secretary,19980701,,,,
mattingly,Mr,general counsel,19980701,,,,
baxter,Mr,deputy general counsel,19980701,,,,
prell,Mr,economist,19980701,,,,
truman,Mr,economist,19980701,,,,
browne,Ms,associate economist,19980701,,,,
dewald,Mr,associate economist,19980701,,,,
hakkio,Mr,associate economist,19980701,,,,
lindsey,Mr,associate economist,19980701,,,,
simspon,Mr,associate economist,19980701,,,,
stockton,Mr,associate economist,19980701,,,,
fisher,Mr,system open market account manager,19980701,,,,
